step,mode,loss,angle_error(rad),distance(m)
1,training,0.102526031435,0.291769223288,0.0
2,training,0.0857904553413,0.261020164937,0.0
3,training,0.0738208666444,0.268798775971,0.0
4,training,0.0664035752416,0.267284408212,0.0
5,training,0.050445895642,0.18840265274,0.0
6,training,0.0416468679905,0.228118270636,0.0
7,training,0.0253080911934,0.141049712896,0.0
8,training,0.0211067944765,0.19607013464,0.0390097172063
9,training,0.0136961713433,0.158586457372,0.0390097172063
10,training,0.0061022345908,0.137452825904,0.0390097172063
11,training,0.0101116485894,0.287329480052,0.0390097172063
12,training,0.0670783221722,0.410001378506,0.073647327986
13,training,0.0669283047318,0.348071798682,0.073647327986
14,training,0.109797388315,0.19864346087,0.073647327986
15,training,0.0743829458952,0.455126911402,0.146701092362
16,training,0.0641389116645,0.461491316557,0.146701092362
17,training,0.0612301975489,0.746760323644,0.146701092362
18,training,0.0215548574924,0.693846136332,0.146701092362
19,training,0.108613923192,0.602248102427,0.146701092362
20,training,0.0673552080989,0.438290372491,0.146701092362
21,training,0.138899683952,0.28881534934,0.236711856936
22,training,0.0802576988935,0.31973772496,0.236711856936
23,training,0.111789010465,0.278472080827,0.236711856936
24,training,0.0806682407856,0.239756025374,0.236711856936
25,training,0.0955031216145,0.12403716892,0.236711856936
26,training,0.0340036451817,0.0737449843436,0.236711856936
27,training,0.0233469363302,0.0234990594909,0.219235650212
28,training,0.0395718663931,0.0171917155385,0.219235650212
29,training,0.0856166556478,0.0558065883815,0.219235650212
30,training,0.0116762602702,0.0720388703048,0.219235650212
31,training,0.0555702596903,0.0536996610463,0.219235650212
32,training,0.0611199066043,0.0188954318874,0.219235650212
33,training,0.0266044735909,0.0705004190095,0.161509210126
34,training,0.0322499834001,0.127307523042,0.161509210126
35,training,0.0652127563953,0.0996731817722,0.161509210126
36,training,0.0365155301988,0.077771502547,0.161509210126
37,training,0.0594955906272,0.0378066021949,0.161509210126
38,training,0.0812961310148,0.161878913641,0.161509210126
39,training,0.0511266589165,0.0810887394473,0.0322373275825
40,training,0.0742934197187,0.0108846807852,0.0322373275825
41,training,0.0485966354609,0.0542607377283,0.0322373275825
42,training,0.0346871688962,0.0973299599718,0.0322373275825
43,training,0.0269636064768,0.0404536041897,0.0322373275825
44,training,0.0492390729487,0.0220669142436,0.0322373275825
45,training,0.0213188957423,0.00203254283406,0.0299332711611
46,training,0.0542274788022,0.0784133900888,0.0299332711611
47,training,0.0214527975768,0.120848894119,0.0299332711611
48,training,0.0325487405062,0.0414082221687,0.0299332711611
49,training,0.0308196786791,0.00331132579595,0.0299332711611
50,training,0.0190021432936,0.0452897083014,0.0299332711611
51,training,0.0186873693019,0.0773286819458,0.0569517592404
52,training,0.0202066376805,0.0953229367733,0.0569517592404
53,training,0.044821023941,0.097806327045,0.0569517592404
54,training,0.0159900039434,0.01632957533,0.0569517592404
55,training,0.0410001836717,0.0779523868114,0.0569517592404
56,training,0.0114765763283,0.109000096098,0.0569517592404
57,training,0.0183604732156,0.103689618409,0.0486600366276
58,training,0.0206200703979,0.119291450828,0.0486600366276
59,training,0.015373904258,0.165218027309,0.0486600366276
60,training,0.014092952013,0.102869406343,0.0486600366276
61,training,0.0297183189541,0.104922566563,0.0486600366276
62,training,0.00430870242417,0.0610998999327,0.0486600366276
63,training,0.0112820612267,0.0811119489372,0.0211164350239
64,training,0.030227586627,0.117438582703,0.0211164350239
65,training,0.0284162089229,0.169877167791,0.0211164350239
66,training,0.0102833099663,0.0871223211288,0.0211164350239
67,training,0.0197672657669,0.0856125317514,0.0211164350239
68,training,0.0321021266282,0.0894493535161,0.0211164350239
69,training,0.00840827077627,0.105876531452,0.00128553974518
70,training,0.0342726744711,0.137959796935,0.00128553974518
71,training,0.0108284633607,0.126079272479,0.00128553974518
72,training,0.00865121372044,0.114192046225,0.00128553974518
73,training,0.0158983469009,0.139104101807,0.00128553974518
74,training,0.00819515064359,0.150103798136,0.00128553974518
75,training,0.00704306783155,0.152294868603,0.0276314654202
76,training,0.0032103494741,0.161487936974,0.0276314654202
77,training,0.00626309774816,0.171818345785,0.0276314654202
78,training,0.0242780763656,0.173572730273,0.0276314654202
79,training,0.00742127094418,0.0966085828841,0.0276314654202
80,training,0.0136337652802,0.162747941911,0.0276314654202
81,training,0.0115632992238,0.0897458083928,0.0242911518399
82,training,0.0235014334321,0.0711867362261,0.0242911518399
83,training,0.010598083958,0.10381751135,0.0242911518399
84,training,0.0277060735971,0.121310763061,0.0242911518399
85,training,0.0064045144245,0.137991636526,0.0242911518399
86,training,0.00666061788797,0.140255005565,0.0242911518399
87,training,0.010541588068,0.141764714848,0.0375163933962
88,training,0.0209970735013,0.155489816796,0.0375163933962
89,training,0.0133440904319,0.162668664008,0.0375163933962
90,training,0.00756207574159,0.172779664863,0.0375163933962
91,training,0.0104986596853,0.154578503221,0.0375163933962
92,training,0.0128729688004,0.164507938549,0.0375163933962
93,training,0.0396864488721,0.226965485141,0.0632753777324
94,training,0.0049895090051,0.24405195564,0.0632753777324
95,training,0.00737185264006,0.216887056828,0.0632753777324
96,training,0.0248785838485,0.21196007356,0.0632753777324
97,training,0.00531497038901,0.229523226619,0.0632753777324
98,training,0.0133144678548,0.211422294378,0.0632753777324
99,training,0.0196700654924,0.183524623513,0.0813149813167
100,training,0.0148785626516,0.185211792588,0.0813149813167
101,training,0.0296776741743,0.173884928226,0.0813149813167
102,training,0.00584611389786,0.16778190434,0.0813149813167
103,training,0.00557661103085,0.141312204301,0.0813149813167
104,training,0.017295865342,0.121594928205,0.0808754866732
105,training,0.0047818524763,0.0181584060192,0.0808754866732
106,training,0.0372391976416,0.0954412221909,0.0808754866732
107,training,0.00973793584853,0.0124572068453,0.0808754866732
108,training,0.00971370469779,0.0184216350317,0.0808754866732
109,training,0.0187827572227,0.00238960236311,0.0743715727903
110,training,0.00567951053381,0.063304644078,0.0743715727903
111,training,0.0383972525597,0.155488178134,0.0743715727903
112,training,0.0164383798838,0.104038008489,0.0743715727903
113,training,0.00868567544967,0.0208368301392,0.0743715727903
114,training,0.0196006316692,0.0127661973238,0.0743715727903
115,training,0.00503952708095,0.0992580316961,0.0535285497247
116,training,0.00445787794888,0.125932482304,0.0535285497247
117,training,0.0145730152726,0.152060862631,0.0535285497247
118,training,0.00559760723263,0.236561819911,0.0535285497247
119,training,0.00841536652297,0.228516995907,0.0535285497247
120,training,0.00829740986228,0.324114143848,0.0535285497247
121,training,0.0145493866876,0.228296913207,0.0116336499884
122,training,0.00888145342469,0.270745314658,0.0116336499884
123,training,0.000363113300409,0.357552058995,0.0116336499884
124,training,0.0102060809731,0.28685194999,0.0116336499884
125,training,0.00848296750337,0.320254936814,0.0116336499884
126,training,0.0116025358438,0.307242676616,0.0116336499884
127,training,0.0192670356482,0.304184019566,0.0553373905139
128,training,0.0180483236909,0.242842461914,0.0553373905139
129,training,0.0100077744573,0.272033089772,0.0553373905139
130,training,0.00717158289626,0.288957693614,0.0553373905139
131,training,0.0119146546349,0.306048870087,0.0553373905139
132,training,0.00486209895462,0.315184015781,0.0553373905139
133,training,0.0350333154202,0.30703054741,0.157132972559
134,training,0.0121264839545,0.600404238328,0.157132972559
135,training,0.0118760596961,0.632439464331,0.157132972559
136,training,0.012336505577,0.485929956194,0.200863002231
137,training,0.000359468132956,0.360801618546,0.200863002231
138,training,0.0577268414199,0.122118279338,0.215121723473
139,training,0.0359601788223,0.191338971257,0.215121723473
140,training,0.0359209775925,0.20656215027,0.215121723473
141,training,0.00836755894125,0.207889728248,0.215121723473
142,training,0.0140419835225,0.209122076631,0.190403805401
143,training,0.00961188599467,0.161612924188,0.190403805401
144,training,0.013624953106,0.218105703592,0.190403805401
145,training,0.0310483276844,0.152587287128,0.190403805401
146,training,0.0353992208838,0.143296577036,0.190403805401
147,training,0.00913082063198,0.0355049073696,0.190403805401
148,training,0.0172359831631,0.0361700132489,0.124978516709
149,training,0.0227140001953,0.0313872247934,0.124978516709
150,training,0.00363591476344,0.204059757292,0.124978516709
151,training,0.00396807398647,0.126981655136,0.124978516709
152,training,0.0182304512709,0.0369812250137,0.124978516709
153,training,0.0237623304129,0.032960049808,0.124978516709
154,training,0.0093965921551,0.0705742947757,0.0757342477802
155,training,0.0504408888519,0.0971134305,0.0757342477802
156,training,0.0232058018446,0.0687373951077,0.0757342477802
157,training,0.013864739798,0.023504704237,0.0757342477802
158,training,0.0167634636164,0.0585885345936,0.0757342477802
159,training,0.0273655094206,0.0941613651812,0.0757342477802
160,training,0.0102749466896,0.0670579113066,0.0464844527754
161,training,0.00493896659464,0.0160309802741,0.0464844527754
162,training,0.0100249322131,0.0212899055332,0.0464844527754
163,training,0.00181921466719,0.0510509391315,0.0464844527754
164,training,0.0127071011811,0.0280480575748,0.0464844527754
165,training,0.00904513895512,0.0803636107594,0.0464844527754
166,training,0.0082050235942,0.0370816774666,0.0348401822431
167,training,0.00603708066046,0.0583046625834,0.0348401822431
168,training,0.00620911456645,0.0546478480101,0.0348401822431
169,training,0.00556282885373,0.0734945731238,0.0348401822431
170,training,0.00272835278884,0.091724684462,0.0348401822431
