step,mode,loss,angle_error(rad),distance(m)
1,training,0.0,0.0,0.0
2,training,0.020318085,0.025574997067451477,0.0
3,training,0.019420234,0.023652251809835434,0.0
4,training,0.02088729,0.010057738632895052,0.0
5,training,0.015461567,0.0029407539404928684,0.0
6,training,0.018825678,0.013028657936956733,0.0
7,training,0.011557158,0.01498377276584506,0.0
8,training,0.009000668,0.0025373855605721474,0.0
9,training,0.013793472,0.06408123648725449,0.03243024880450874
10,training,0.013448724,0.060487051494419575,0.03243024880450874
11,training,0.0141161475,0.07177839521318674,0.03243024880450874
12,training,0.0070480625,0.06696829351130874,0.03243024880450874
13,training,0.006496127,0.03873387724161149,0.03243024880450874
14,training,0.0059110015,0.033957077190279954,0.03243024880450874
15,training,0.003348968,0.03185959346592427,0.10739976850448077
16,training,0.0046273535,0.09573298692703247,0.10739976850448077
17,training,0.0045754104,0.08778047002851963,0.10739976850448077
18,training,0.0036814227,0.07972646644338965,0.10739976850448077
19,training,0.0012223639,0.047430962324142456,0.10739976850448077
20,training,0.0028886276,0.02679096767678857,0.10739976850448077
21,training,0.0043501514,0.019887731410562992,0.16697658146565283
22,training,0.0043000816,0.10425741598010063,0.16697658146565283
23,training,0.0018160284,0.12387407198548317,0.16697658146565283
24,training,0.008978462,0.18784273788332936,0.16697658146565283
25,training,0.0077796695,0.1802080906927586,0.16697658146565283
26,training,0.0033328454,0.07838234957307576,0.16697658146565283
27,training,0.004381104,0.1320812925696373,0.18291685293949872
28,training,0.0042725364,0.12302270997315645,0.18291685293949872
29,training,0.0029213119,0.052240291843190796,0.18291685293949872
30,training,0.006951882,0.03608269244432449,0.18291685293949872
31,training,0.0058301277,0.010356040671467781,0.18291685293949872
32,training,0.009677279,0.04393623140640556,0.18291685293949872
33,training,0.003217225,0.016303727403283126,0.16143703657359734
34,training,0.00603671,0.0046132225543260574,0.16143703657359734
35,training,0.0053861807,0.033631185069680214,0.16143703657359734
36,training,0.007215498,0.04929942637681961,0.16143703657359734
37,training,0.008879184,0.061213499866426,0.16143703657359734
38,training,0.0075860433,0.05972484452649951,0.16143703657359734
39,training,0.0048206844,0.05778924562036991,0.11028830288402608
40,training,0.0010295216,0.09797665663063526,0.11028830288402608
41,training,0.0050680144,0.03223773662466556,0.11028830288402608
42,training,0.006474438,0.03184574656188488,0.11028830288402608
43,training,0.0041674706,0.043994381092488766,0.11028830288402608
44,training,0.007216943,0.003973348066210747,0.11003786584623089
45,training,0.0029775263,0.030957970768213272,0.11003786584623089
46,training,0.013766098,0.05125712975859642,0.11003786584623089
47,training,0.0107214665,0.13031565770506856,0.11003786584623089
48,training,0.0033794956,0.1013753218576312,0.11003786584623089
49,training,0.007498232,0.06084131356328727,0.11003786584623089
50,training,0.0032083718,0.2269651450915262,0.06145872226935848
51,training,0.004291493,0.1741533949971199,0.06145872226935848
52,training,0.002902965,0.16784599423408508,0.06145872226935848
53,training,0.0033939334,0.014022313058376309,0.06145872226935848
54,training,0.00492913,0.008185952901840203,0.06145872226935848
55,training,0.0045726867,0.016547424718737602,0.06145872226935848
56,training,0.0045955237,0.009665497578680515,0.19425126054233186
57,training,0.00809612,0.03161544073373079,0.19425126054233186
58,training,0.0016363288,0.0909324586391449,0.19425126054233186
59,training,0.0063095563,0.12810232117772102,0.19425126054233186
60,training,0.0045828465,0.06936454959213734,0.19425126054233186
61,training,0.011004344,0.1263462584465742,0.19425126054233186
62,training,0.008509632,0.1477258186787367,0.19425126054233186
63,training,0.005729701,0.17842584848403933,0.22826452200435385
64,training,0.009496727,0.17158276587724686,0.22826452200435385
65,training,0.015362996,0.17317010089755058,0.22826452200435385
66,training,0.0018320713,0.13820407912135124,0.22826452200435385
67,training,0.010405561,0.15192583575844765,0.22826452200435385
68,training,0.008310769,0.1418711133301258,0.22826452200435385
69,training,0.0028408812,0.1292414329946041,0.19080080349007783
70,training,0.0115237655,0.1226586289703846,0.19080080349007783
71,training,0.003879307,0.07272367738187313,0.19080080349007783
72,training,0.010932917,0.10894785448908806,0.19080080349007783
73,training,0.014451026,0.1197020672261715,0.19080080349007783
74,training,0.0048268093,0.14836345985531807,0.14750907825976717
75,training,0.011526818,0.1630837544798851,0.14750907825976717
76,training,0.011311239,0.1414458528161049,0.14750907825976717
77,training,0.004812096,0.09192894026637077,0.14750907825976717
78,training,0.012770602,0.11547466367483139,0.14750907825976717
79,training,0.0032220292,0.16344620659947395,0.14750907825976717
80,training,0.00713458,0.1268661580979824,0.09687685008617705
81,training,0.009200543,0.12997378036379814,0.09687685008617705
82,training,0.015556349,0.18320875242352486,0.09687685008617705
83,training,0.006317908,0.18257475271821022,0.09687685008617705
84,training,0.00480516,0.16111702099442482,0.09687685008617705
85,training,0.0036905792,0.16028928942978382,0.09687685008617705
86,training,0.012999449,0.17725944705307484,0.05991261497007694
87,training,0.010371621,0.17524278350174427,0.05991261497007694
88,training,0.0040334323,0.19051514379680157,0.05991261497007694
89,training,0.004980225,0.18497073464095592,0.05991261497007694
90,training,0.0005130124,0.13430812396109104,0.05991261497007694
91,training,0.0051343273,0.07686664164066315,0.05991261497007694
92,training,0.0023489795,0.09850206971168518,0.05991261497007694
93,training,0.0011523303,0.09913267008960247,0.044730469530014784
94,training,0.009106341,0.09387107752263546,0.044730469530014784
95,training,0.00789074,0.06899964064359665,0.044730469530014784
96,training,0.0022725163,0.09978592954576015,0.044730469530014784
97,training,0.005196704,0.043529766611754894,0.044730469530014784
98,training,0.0057648406,0.024364419281482697,0.044730469530014784
99,training,0.0019058522,0.010129816830158234,0.03402331345890708
100,training,0.004131809,0.03125749900937082,0.03402331345890708
101,training,0.004735493,0.04575745947659016,0.03402331345890708
102,training,0.0013734342,0.018833789974451065,0.03402331345890708
103,training,0.0036052512,0.011509764939546578,0.03402331345890708
104,training,0.0033905527,0.012222699820995338,0.008778267272364424
105,training,0.000673241,0.024347094818949706,0.008778267272364424
106,training,0.0023071328,0.05801745713688434,0.008778267272364424
107,training,0.0030200672,0.04302227031439542,0.008778267272364424
108,training,0.0065198345,0.012550786137580879,0.008778267272364424
109,training,0.0027225546,0.009591329842805855,0.008778267272364424
110,training,0.0035886418,0.03938176017254592,0.008778267272364424
111,training,0.0044146166,0.0887227701023221,0.014471288821438616
112,training,0.0026749698,0.08778454409912229,0.014471288821438616
113,training,0.0048780562,0.01589643955230713,0.014471288821438616
114,training,0.0011200946,0.033323075622320175,0.014471288821438616
115,training,0.0011578711,0.04917270317673683,0.014471288821438616
116,training,0.002369246,0.03629545494914056,0.014471288821438616
117,training,0.006704034,0.012083783745765672,0.006642395397524026
118,training,0.0021147502,0.022598527371883392,0.006642395397524026
119,training,0.007394848,0.0794408842921257,0.006642395397524026
120,training,0.0027069952,0.11707771942019463,0.006642395397524026
121,training,0.0035036046,0.09345796704292297,0.006642395397524026
122,training,0.0074616033,0.07981926202774048,0.011798683663593596
123,training,0.0037995784,0.0952624510973692,0.011798683663593596
124,training,0.0014675781,0.10235308483242989,0.011798683663593596
125,training,0.0008479258,0.02531323581933974,0.011798683663593596
126,training,0.0037066734,0.027705084532499313,0.011798683663593596
127,training,0.0029270316,0.08576288633048533,0.015428468610907143
128,training,0.0026584973,0.026972975581884398,0.015428468610907143
129,training,0.0033695274,0.07494613295421004,0.015428468610907143
130,training,0.0009933901,0.10880617052316664,0.015428468610907143
131,training,0.0032841496,0.022660084068775177,0.015428468610907143
132,training,0.006184132,0.09599922085180879,0.015428468610907143
133,training,0.0019788027,0.11445244215428829,0.015428468610907143
134,training,0.009241081,0.11220668628811836,0.03776092772495347
135,training,0.0013952202,0.09668213129043582,0.03776092772495347
136,training,0.001855048,0.08283461257815361,0.03776092772495347
137,training,0.004796528,0.10791338235139847,0.03776092772495347
138,training,0.0045777485,0.14052325580269098,0.03776092772495347
139,training,0.0028889342,0.17747774720191956,0.03776092772495347
140,training,0.0017791024,0.2615848481655121,0.04715443823336101
141,training,0.0055031893,0.26721327006816864,0.04715443823336101
142,training,0.0024527449,0.2662077993154526,0.04715443823336101
143,training,0.0024694134,0.21635294891893864,0.04715443823336101
144,training,0.013733223,0.22524304687976837,0.04715443823336101
145,training,0.0111784665,0.19836545921862125,0.04715443823336101
146,training,0.0031428242,0.18792390823364258,0.06838943923215265
147,training,0.012131932,0.17020411789417264,0.06838943923215265
148,training,0.008219549,0.20191321894526482,0.06838943923215265
149,training,0.0037439903,0.25270872190594673,0.06838943923215265
150,training,0.0061610118,0.2364414473995566,0.06838943923215265
151,training,0.009969452,0.23570974706672135,0.06838943923215265
152,training,0.007924814,0.21056193113327026,0.11565584000828669
153,training,0.0004308585,0.25487863086164,0.11565584000828669
154,training,0.0046678605,0.25991199910640717,0.11565584000828669
155,training,0.0027788905,0.29274502396583557,0.11565584000828669
156,training,0.004547742,0.23574443906545642,0.11565584000828669
157,training,0.002481496,0.3012847602367401,0.11565584000828669
158,training,0.0026243564,0.3301020488142967,0.1353754821945118
159,training,0.0047306283,0.33443960547447205,0.1353754821945118
160,training,0.0014754436,0.3044532313942909,0.1353754821945118
161,training,0.0026222917,0.28835606575012207,0.1353754821945118
162,training,0.006451298,0.23449359834194183,0.1353754821945118
163,training,0.0019881413,0.184323669411242,0.12809281278283277
164,training,0.0071739014,0.09905669675208628,0.12809281278283277
165,training,0.006378842,0.07159524410963058,0.12809281278283277
166,training,0.0026680608,0.1315358802676201,0.12809281278283277
167,training,0.012886329,0.03886574506759644,0.12809281278283277
168,training,0.0059427205,0.0390788265503943,0.12809281278283277
169,training,0.013892303,0.011420432478189461,0.12809281278283277
