step,mode,loss,angle_error(rad),distance(m)
1,training,0.06479797,0.2286221943795681,0.0
2,training,0.05289,0.200887531042099,0.0
3,training,0.040892713,0.17362529039382935,0.0
4,training,0.033797715,0.18813874572515488,0.0
5,training,0.021939721,0.11994367837905884,0.0
6,training,0.029618096,0.24586008489131927,0.0
7,training,0.01553724,0.09179268777370453,0.0
8,training,0.008975437,0.05280423164367676,0.010881216875811393
9,training,0.0050273156,0.05903632938861847,0.010881216875811393
10,training,0.0036750473,0.11722598969936368,0.010881216875811393
11,training,0.0059718336,0.19837638735771176,0.010881216875811393
12,training,0.01976749,0.27627722173929214,0.027744446454686062
13,training,0.019847333,0.3174714967608452,0.027744446454686062
14,training,0.037901305,0.28614242002367973,0.0284418604121455
15,training,0.021246966,0.1788204424083233,0.0284418604121455
16,training,0.0120044695,0.5147031992673874,0.012533511612016
17,training,0.0347135,0.242069274187088,0.012533511612016
18,training,0.084520474,0.24717809259891513,0.012533511612016
19,training,0.013784451,0.2578635439276695,0.012533511612016
20,training,0.026768152,0.3014375641942024,0.012533511612016
21,training,0.055394284,0.29824473708868027,0.012533511612016
22,training,0.022031501,0.317812018096447,0.012533511612016
23,training,0.04389985,0.3130199611186981,0.1281771953345976
24,training,0.07112746,0.3010455518960953,0.1281771953345976
25,training,0.041612934,0.6230504512786864,0.1281771953345976
26,training,0.08363043,0.595760803669691,0.1281771953345976
27,training,0.05793365,0.7724587842822075,0.1281771953345976
28,training,0.0997715,0.7121832258999348,0.22224492434421259
29,training,0.10608137,0.5993945673108101,0.22224492434421259
30,training,0.03851769,0.506587715819478,0.22765145603709055
31,training,0.10302383,0.31439288705587387,0.22765145603709055
32,training,0.14266263,0.18524550506845114,0.21901437994371814
33,training,0.15250908,0.0809237032663077,0.21901437994371814
34,training,0.09822942,0.019222328905016184,0.21901437994371814
35,training,0.09045696,0.07224534079432487,0.21901437994371814
36,training,0.11228155,0.101312804967165,0.14916179486119877
37,training,0.068176925,0.09964833036065102,0.14916179486119877
