step,mode,loss,angle_error(rad),distance(m)
1,training,0.0016669345,0.032691909931600094,0.0
2,training,0.019953365,0.0152900330722332,0.0
3,training,0.0275313,0.027316555380821228,0.0
4,training,0.019170815,0.01972290873527527,0.0
5,training,0.013143043,0.009368225932121277,0.0
6,training,0.028164463,0.0038900580257177353,0.0
7,training,0.030116348,0.011157035361975431,0.0
8,training,0.016710982,0.0292393546551466,0.05791015248634087
9,training,0.015501283,0.11937355995178223,0.05791015248634087
10,training,0.013380397,0.1205931082367897,0.05791015248634087
11,training,0.021252105,0.10679336078464985,0.05791015248634087
12,training,0.019972872,0.052828210406005396,0.05791015248634087
13,training,0.01878079,0.05748668126761913,0.05791015248634087
14,training,0.013897153,0.13131769094616175,0.13524520565284903
15,training,0.015318316,0.19934924133121967,0.13524520565284903
16,training,0.01748691,0.22283528745174405,0.13524520565284903
17,training,0.02018098,0.2256598137319088,0.13524520565284903
18,training,0.015795385,0.22786619700491428,0.13524520565284903
19,training,0.011829755,0.2348690666258335,0.13524520565284903
20,training,0.025688056,0.23392450623214242,0.23451792086671497
21,training,0.016765831,0.25465567503124475,0.23451792086671497
22,training,0.022443473,0.24747203104197985,0.23451792086671497
23,training,0.0142650595,0.19080769270658493,0.23451792086671497
24,training,0.0060084444,0.1251824237406254,0.23451792086671497
25,training,0.008752266,0.06991246342658998,0.23451792086671497
26,training,0.015661648,0.014770321547985077,0.29154118632523823
27,training,0.02044965,0.10954400524497035,0.29154118632523823
28,training,0.009402288,0.16536616161465645,0.29154118632523823
29,training,0.014125748,0.1300330460071564,0.29154118632523823
30,training,0.01391663,0.049602508544921875,0.29154118632523823
31,training,0.015173588,0.12542155012488365,0.29154118632523823
32,training,0.01864156,0.09087854996323586,0.3215754714059484
33,training,0.012046091,0.018910592421889298,0.3215754714059484
34,training,0.00714538,0.05288665369153024,0.3215754714059484
35,training,0.01359068,0.019635282456874847,0.3215754714059484
36,training,0.008053697,0.050484562292695045,0.3215754714059484
37,training,0.024827711,0.09692630171775818,0.3215754714059484
38,training,0.024432108,0.014617154491133988,0.29109504464113545
39,training,0.011309602,0.11097091273404658,0.29109504464113545
40,training,0.0070593143,0.07285180955659598,0.29109504464113545
41,training,0.012541001,0.005835088901221752,0.29109504464113545
42,training,0.011141297,0.05883114039897917,0.29109504464113545
43,training,0.020259943,0.04612903483211994,0.29109504464113545
44,training,0.006821674,0.06987584009766579,0.23347044107336856
45,training,0.017541341,0.09855210129171611,0.23347044107336856
46,training,0.010286588,0.09809275064617395,0.23347044107336856
47,training,0.013339492,0.09000546298921108,0.23347044107336856
