step,mode,loss,angle_error(rad),distance(m)
1,training,6.408609e-05,0.007951535866595805,0.0
2,training,0.020043626,0.004914203891530634,0.0
3,training,0.025302477,0.005460112588480115,0.0
4,training,0.025352357,0.04694757424294949,0.0
5,training,0.023286581,0.046740797348320484,0.01664836559911418
6,training,0.026990157,0.09510946553200483,0.01664836559911418
7,training,0.02230809,0.10565099865198135,0.01664836559911418
8,training,0.020051433,0.10064512025564909,0.030993247459993937
9,training,0.043048203,0.21219643345102668,0.030993247459993937
10,training,0.029082745,0.23247614316642284,0.030993247459993937
11,training,0.0333628,0.216191625688225,0.030993247459993937
12,training,0.041987497,0.23019362706691027,0.030993247459993937
13,training,0.031916015,0.21476703882217404,0.10303151082385006
14,training,0.034179866,0.3130249157547951,0.10303151082385006
15,training,0.037865832,0.294482484459877,0.10303151082385006
16,training,0.03669689,0.29948195442557335,0.10303151082385006
17,training,0.03651149,0.13115400634706018,0.10303151082385006
18,training,0.037212886,0.11610035598278046,0.15487685184850014
19,training,0.02866881,0.04785498231649399,0.15487685184850014
20,training,0.039990876,0.032854512333869934,0.15487685184850014
21,training,0.031331237,0.06216307217255235,0.15487685184850014
22,training,0.03999136,0.06547024846076965,0.16894753202784837
23,training,0.033916157,0.03915180638432503,0.16894753202784837
24,training,0.043862574,0.024662189185619354,0.16894753202784837
25,training,0.024458488,0.03766939416527748,0.01579928617117815
26,training,0.040214423,0.04305022954940795,0.01579928617117815
27,training,0.033695582,0.0417121909558773,0.01579928617117815
28,training,0.025767716,0.1286095567047596,0.07585709646428695
29,training,0.040434,0.18393126875162125,0.07585709646428695
30,training,0.015452371,0.10040596686303616,0.07585709646428695
31,training,0.02496069,0.19219651073217392,0.07585709646428695
32,training,0.039918505,0.2298593670129776,0.07585709646428695
33,training,0.03314717,0.24102459102869034,0.10155739069203465
34,training,0.0320606,0.28038522601127625,0.10155739069203465
35,training,0.02380093,0.34195559471845627,0.10155739069203465
36,training,0.051404424,0.2722524479031563,0.10155739069203465
