step,mode,loss,angle_error(rad),distance(m),dataset(f),dataset(l),dataset(r)
1,training,0.0,0.0,0.0,1,1,1
2,training,0.020106534,0.019422058016061783,0.0,2,2,2
3,training,0.025714835,0.019758448004722595,0.0,3,3,3
4,training,0.023924425,0.012270472012460232,0.0,4,4,4
5,training,0.02160382,0.008156812749803066,0.0,5,5,5
6,training,0.020543981,0.01599092548713088,0.0,6,6,6
7,training,0.016224345,0.0303810965269804,0.0,7,7,7
8,training,0.019161098,0.035930829122662544,0.02402830481533053,8,8,8
9,training,0.024475642,0.08303196728229523,0.02402830481533053,9,9,9
10,training,0.026021369,0.0566791242454201,0.02402830481533053,10,10,10
11,training,0.009956554,0.04472202993929386,0.02402830481533053,11,11,11
12,training,0.021155894,0.02628564462065698,0.02402830481533053,12,12,12
13,training,0.015497458,0.029198836535215378,0.02402830481533053,13,13,13
14,training,0.01152909,0.04294200614094733,0.08766742913864672,14,14,14
15,training,0.01025574,0.10881950333714488,0.08766742913864672,15,14,14
16,training,0.0134797795,0.1095845615491271,0.08766742913864672,16,14,14
17,training,0.009288327,0.10423717554658653,0.08766742913864672,17,14,14
18,training,0.0056949533,0.09013010282069446,0.08766742913864672,18,14,14
19,training,0.0132604465,0.20154421590268612,0.08766742913864672,18,15,14
20,training,0.005551552,0.1842388603836298,0.14970387739676483,18,16,14
21,training,0.016965805,0.18973184283822775,0.14970387739676483,19,16,14
22,training,0.012165925,0.14319276483729482,0.14970387739676483,20,16,14
23,training,0.013306634,0.08664190117269754,0.14970387739676483,21,17,15
24,training,0.0072176238,0.16017637588083744,0.14970387739676483,22,17,15
25,training,0.014895874,0.10748403705656528,0.14970387739676483,23,17,15
26,training,0.006943755,0.057635195553302765,0.17055246675667368,24,18,16
27,training,0.005485585,0.09750322625041008,0.17055246675667368,25,18,16
28,training,0.00959277,0.052527237683534594,0.17055246675667368,26,18,16
29,training,0.009790992,0.003084622323513031,0.17055246675667368,27,19,17
30,training,0.013210933,0.026004072278738015,0.17055246675667368,28,20,18
31,training,0.012529229,0.06293885409832001,0.17055246675667368,29,21,19
32,training,0.016001403,0.06285619642585516,0.15079951740320685,30,22,20
33,training,0.010325869,0.016787633299827576,0.15079951740320685,31,23,21
34,training,0.01057108,0.016019418835639954,0.15079951740320685,32,24,22
35,training,0.004176494,0.028049254789948463,0.15079951740320685,33,25,23
36,training,0.007613471,0.0038952864706516266,0.15079951740320685,34,26,24
37,training,0.009889271,0.05521077290177345,0.15079951740320685,35,27,25
38,training,0.009372314,0.07502302527427673,0.11362712336069417,36,28,26
39,training,0.01744548,0.030268833041191094,0.11362712336069417,37,29,27
40,training,0.010970806,0.034100716933608055,0.11362712336069417,38,30,28
41,training,0.009532022,0.03448980674147606,0.11362712336069417,39,31,29
42,training,0.010776518,0.029506869614124284,0.11362712336069417,40,32,30
43,training,0.0117633,0.042373621836304665,0.11362712336069417,41,33,31
44,training,0.0100921495,0.10299893841147423,0.06163446708966551,42,34,32
45,training,0.006764547,0.12631620839238167,0.06163446708966551,43,35,33
46,training,0.022309333,0.05491247959434986,0.06163446708966551,44,36,34
47,training,0.0094118295,0.008145947009325027,0.06163446708966551,45,37,35
48,training,0.012385142,0.05317019857466221,0.06163446708966551,46,38,36
49,training,0.0056838784,0.0233208816498518,0.06163446708966551,47,39,37
50,training,0.0038970683,0.018863650038838387,0.037300567475044843,48,40,38
51,training,0.0059412494,0.1041870079934597,0.037300567475044843,49,40,38
52,training,0.008633676,0.029266992583870888,0.037300567475044843,50,41,39
53,training,0.008632529,0.105767393251881,0.037300567475044843,51,41,39
54,training,0.0036918784,0.07328266324475408,0.037300567475044843,52,42,40
55,training,0.0042874864,0.025954797863960266,0.037300567475044843,53,43,41
56,training,0.005412171,0.015150243882089853,0.20192477591348437,54,44,42
57,training,0.004290063,0.04573984257876873,0.20192477591348437,55,45,43
58,training,0.007638555,0.07926432555541395,0.20192477591348437,56,46,44
59,training,0.0007794432,0.059519447386264815,0.20192477591348437,57,47,45
60,training,0.005651811,0.06403325172141194,0.20192477591348437,58,48,46
61,training,0.0045521203,0.14921791478991508,0.20192477591348437,59,48,46
62,training,0.010042616,0.09271011874079704,0.24063017782962004,60,49,47
63,training,0.0009836482,0.19172393530607224,0.24063017782962004,61,49,47
64,training,0.0032030027,0.18270672112703323,0.24063017782962004,62,49,47
65,training,0.00353116,0.13383801095187664,0.24063017782962004,63,49,47
66,training,0.010789798,0.12551338598132133,0.24063017782962004,64,50,48
67,training,0.001537584,0.11863884702324867,0.24063017782962004,65,51,49
68,training,0.006734354,0.14024410769343376,0.20038801840817919,66,52,50
69,training,0.013507563,0.1367986910045147,0.20038801840817919,67,53,51
70,training,0.014901251,0.15206442773342133,0.20038801840817919,68,54,52
71,training,0.0024122729,0.20531025528907776,0.20038801840817919,69,55,53
72,training,0.008690473,0.23449641466140747,0.20038801840817919,70,56,54
73,training,0.004140865,0.20478422194719315,0.20038801840817919,71,57,55
74,training,0.005279633,0.17370327189564705,0.1344580155405969,72,58,56
75,training,0.016287947,0.18738262355327606,0.1344580155405969,73,59,57
76,training,0.008255353,0.19191722944378853,0.1344580155405969,74,60,58
77,training,0.010254065,0.21166075393557549,0.1344580155405969,75,61,59
78,training,0.002689402,0.18009455874562263,0.1344580155405969,76,62,60
79,training,0.0096817,0.15654293820261955,0.1344580155405969,77,63,61
