step,mode,loss,angle_error(rad),distance(m),dataset(f),dataset(l),dataset(r)
1,training,0.0,0.0,0.0,0,0,0
2,training,0.0,0.0,0.0,0,0,0
3,training,0.0,0.0,0.0,0,0,0
4,training,0.0,0.0,0.0,0,0,0
5,training,0.0,0.0,0.0,0,0,0
6,training,0.0,0.0,0.0,0,0,0
7,training,0.0,0.0,0.0,0,0,0
8,training,0.0,0.0,0.029074731272612026,0,0,0
9,training,0.0,0.047037769109,0.029074731272612026,0,0,0
10,training,0.0,0.0577176660299,0.029074731272612026,0,0,0
11,training,0.003330515,0.054081422975286834,0.029074731272612026,1,1,1
12,training,0.02225558,0.03397522773593665,0.029074731272612026,2,2,2
13,training,0.02225558,0.04024527873843908,0.029074731272612026,2,2,2
14,training,0.02225558,0.03793258871883154,0.08362103858647384,2,2,2
15,training,0.02225558,0.08971858303993942,0.08362103858647384,2,2,2
16,training,0.021529362,0.07979092933237554,0.08362103858647384,3,2,2
17,training,0.02186589,0.07645608484745026,0.08362103858647384,4,2,2
18,training,0.016082318,0.06532786786556243,0.08362103858647384,5,3,3
19,training,0.021716636,0.04647304117679596,0.08362103858647384,6,4,4
20,training,0.021716636,0.13981021195650103,0.15288099014275797,6,4,4
21,training,0.017563602,0.12646663561463356,0.15288099014275797,7,4,4
22,training,0.02396552,0.07015407457947731,0.15288099014275797,8,4,4
23,training,0.013050154,0.034476362168788896,0.15288099014275797,9,5,5
24,training,0.013050154,0.10835400223731995,0.15288099014275797,9,5,5
25,training,0.02160827,0.0574110001325607,0.15288099014275797,10,5,5
26,training,0.006988751,0.017845898866653442,0.20695752321288322,11,6,6
27,training,0.006988751,0.046123530715703964,0.20695752321288322,11,6,6
28,training,0.006988751,0.026040032505989075,0.20695752321288322,11,6,6
29,training,0.006988751,0.023882783949375153,0.20695752321288322,11,6,6
30,training,0.006988751,0.0681442953646183,0.20695752321288322,11,6,6
31,training,0.019356586,0.12012538686394691,0.20695752321288322,12,7,7
32,training,0.019680139,0.14361625909805298,0.20220400087923665,13,8,8
33,training,0.023337563,0.08709178119897845,0.20220400087923665,14,8,8
34,training,0.023416601,0.058481961488723755,0.20220400087923665,15,8,8
35,training,0.011002845,0.11010852828621864,0.20220400087923665,16,9,9
36,training,0.02361061,0.15729811042547226,0.20220400087923665,17,10,10
37,training,0.017825274,0.059431697241961956,0.20220400087923665,18,11,11
38,training,0.036389872,0.08193450421094894,0.18078309414012436,19,12,12
39,training,0.019703148,0.08205747790634632,0.18078309414012436,20,13,13
40,training,0.026810797,0.07292776647955179,0.18078309414012436,21,14,14
41,training,0.020816574,0.008061592234298587,0.18078309414012436,22,15,15
42,training,0.020816574,0.006502764066681266,0.18078309414012436,22,15,15
43,training,0.020816574,0.003273716021794826,0.18078309414012436,22,15,15
44,training,0.020816574,0.00760262249968946,0.14916120007150727,22,15,15
45,training,0.020816574,0.03142347536049783,0.14916120007150727,22,15,15
46,training,0.020816574,0.018501475220546126,0.14916120007150727,22,15,15
47,training,0.020816574,0.040642261272296316,0.14916120007150727,22,15,15
48,training,0.020816574,0.14499679929576814,0.14916120007150727,22,15,15
49,training,0.020254398,0.15989498677663508,0.14916120007150727,23,15,15
50,training,0.022341596,0.09751555416733028,0.08407455597375342,24,15,15
51,training,0.035071015,0.09845461463555694,0.08407455597375342,25,15,15
52,training,0.031615317,0.08540152851492165,0.08407455597375342,26,16,16
53,training,0.020092854,0.015317121520638473,0.08407455597375342,27,17,17
54,training,0.020092854,0.0054690837860107405,0.08407455597375342,27,17,17
55,training,0.020092854,0.023240783717483282,0.08407455597375342,27,17,17
56,training,0.020092854,0.030386406928300858,0.17736867193341024,27,17,17
57,training,0.020092854,0.021014847792685032,0.17736867193341024,27,17,17
58,training,0.020092854,0.04269607178866863,0.17736867193341024,27,17,17
59,training,0.020092854,0.017042865976691246,0.17736867193341024,27,17,17
60,training,0.020092854,0.05046446807682514,0.17736867193341024,27,17,17
61,training,0.016917357,0.06223991885781288,0.17736867193341024,28,18,18
62,training,0.03226891,0.14666025340557098,0.17453139550533947,29,18,18
63,training,0.030917145,0.16992262378334996,0.17453139550533947,30,18,18
64,training,0.02230897,0.11841814033687115,0.17453139550533947,31,19,19
65,training,0.032210037,0.06690585240721703,0.17453139550533947,32,20,20
66,training,0.023960486,0.08732033427804708,0.17453139550533947,33,21,21
67,training,0.015394653,0.09965929761528969,0.17453139550533947,34,22,22
68,training,0.035664793,0.09740514867007732,0.16490160585694721,35,23,23
69,training,0.022337735,0.08988688886165619,0.16490160585694721,36,24,24
70,training,0.023170238,0.07513020932674408,0.16490160585694721,37,24,24
71,training,0.021937449,0.06170753575861454,0.16490160585694721,38,25,25
72,training,0.015190605,0.024256456643342972,0.16490160585694721,39,26,26
73,training,0.015190605,0.020078342407941818,0.16490160585694721,39,26,26
