step,mode,loss,angle_error(rad),distance(m),dataset(f),dataset(l),dataset(r)
1,training,0.0,0.0244231447577,0.0,0,0,0
2,training,0.0,0.0402397103608,0.0,0,0,0
3,training,0.0,0.0407422669232,0.0,0,0,0
4,training,0.0,0.0404614508152,0.0,0,0,0
5,training,0.0,0.0407507903874,0.0,0,0,0
6,training,0.0,0.0387420840561,0.0,0,0,0
7,training,0.0,0.0407344289124,0.0,0,0,0
8,training,0.0,0.0,0.05056758269153923,0,0,0
9,training,0.0,0.0,0.05056758269153923,0,0,0
10,training,0.0,0.0,0.05056758269153923,0,0,0
11,training,0.0,0.0,0.05056758269153923,0,0,0
12,training,0.0,0.0,0.05056758269153923,0,0,0
13,training,0.0,0.0,0.05056758269153923,0,0,0
14,training,0.0,0.106051146984,0.130499642208208,0,0,0
15,training,0.0094527025,0.09306936617940664,0.130499642208208,1,1,1
16,training,0.026577057,0.061745790764689445,0.130499642208208,2,2,2
17,training,0.031427573,0.022114325314760208,0.130499642208208,3,3,3
18,training,0.031427573,0.003961589187383652,0.130499642208208,3,3,3
19,training,0.031427573,0.010628065094351768,0.130499642208208,3,3,3
20,training,0.031427573,0.0668950229883194,0.20710181885711956,3,3,3
21,training,0.027773377,0.021227151155471802,0.20710181885711956,4,4,4
22,training,0.027773377,0.0010769776999950478,0.20710181885711956,4,4,4
23,training,0.027773377,0.03674444183707237,0.20710181885711956,4,4,4
24,training,0.027773377,0.05233220010995865,0.20710181885711956,4,4,4
25,training,0.028851872,0.0724198124371469,0.20710181885711956,5,5,5
26,training,0.026191995,0.09144572727382183,0.26755416452055125,6,6,6
27,training,0.022253668,0.047484949231147766,0.26755416452055125,7,6,6
28,training,0.022253668,0.08044464886188507,0.26755416452055125,7,6,6
29,training,0.04057156,0.03263089060783386,0.26755416452055125,8,6,6
30,training,0.04057156,0.0014170482754707336,0.26755416452055125,8,6,6
31,training,0.04057156,0.03835145011544227,0.26755416452055125,8,6,6
32,training,0.04057156,0.014508426189422621,0.3062700195183661,8,6,6
33,training,0.04057156,0.1025899350643158,0.3062700195183661,8,6,6
34,training,0.025852945,0.04252953082323073,0.3062700195183661,9,6,6
35,training,0.025852945,0.016874253749847412,0.3062700195183661,9,6,6
36,training,0.025852945,0.0657122116535902,0.3062700195183661,9,6,6
37,training,0.0108545,0.030070275068283067,0.3062700195183661,10,6,6
38,training,0.0108545,0.026724141091108315,0.3112150882855568,10,6,6
39,training,0.0108545,0.08334078546613455,0.3112150882855568,10,6,6
40,training,0.024252158,0.10729796439409256,0.3112150882855568,11,7,7
41,training,0.017166657,0.03595440462231636,0.3112150882855568,12,8,8
42,training,0.017166657,0.05818641930818558,0.3112150882855568,12,8,8
43,training,0.022915956,0.10106112062931061,0.3112150882855568,13,9,9
44,training,0.04347373,0.024477194994688034,0.26453803831014794,14,10,10
45,training,0.04347373,0.07419823110103607,0.26453803831014794,14,10,10
46,training,0.020064985,0.04465257190167904,0.26453803831014794,15,11,11
47,training,0.020064985,0.02386491186916828,0.26453803831014794,15,11,11
48,training,0.020064985,0.06509927846491337,0.26453803831014794,15,11,11
49,training,0.02022389,0.0041444953531026875,0.26453803831014794,16,12,12
50,training,0.02022389,0.07357706129550934,0.06864229962026064,16,12,12
51,training,0.022069277,0.03940008860081434,0.06864229962026064,17,13,13
52,training,0.022069277,0.01682774256914854,0.06864229962026064,17,13,13
53,training,0.022069277,0.04487884324043989,0.06864229962026064,17,13,13
54,training,0.022069277,0.004697789438068867,0.06864229962026064,17,13,13
55,training,0.022069277,0.0404308820143342,0.06864229962026064,17,13,13
