step,mode,loss,angle_error(rad),distance(m)
1,training,0.0032738654,0.05220370506867766,0.0
2,training,0.02083836,0.022260412573814392,0.0
3,training,0.019442933,0.006447549909353256,0.0
4,training,0.017445171,0.028148874640464783,0.0
5,training,0.029383942,0.09280709829181433,0.0
6,training,0.02157214,0.10896067321300507,0.0
7,training,0.03616068,0.11321186646819115,0.0
8,training,0.027441105,0.09036650881171227,0.03649401056849493
9,training,0.020180454,0.1501920521259308,0.03649401056849493
10,training,0.030847795,0.14648184552788734,0.03649401056849493
11,training,0.032946527,0.1434383988380432,0.03649401056849493
12,training,0.030313384,0.15122438780963418,0.03649401056849493
13,training,0.024619946,0.14788897382095453,0.03649401056849493
14,training,0.02469111,0.15466555254533887,0.11125422838937869
15,training,0.019903176,0.17449605185538533,0.11125422838937869
16,training,0.0170868,0.14207130111753938,0.11125422838937869
17,training,0.015179317,0.10553186945617199,0.11125422838937869
18,training,0.01575043,0.07253659889101982,0.11125422838937869
19,training,0.009907769,0.09414763748645782,0.11125422838937869
20,training,0.018953925,0.05854954198002814,0.18350593743856689
21,training,0.039308455,0.054301004856824875,0.18350593743856689
22,training,0.021226427,0.029975645244121565,0.18350593743856689
23,training,0.019274872,0.022886965423822403,0.18350593743856689
24,training,0.021831052,0.000597834587097168,0.18350593743856689
25,training,0.00936779,0.03590507805347442,0.18350593743856689
26,training,0.013598433,0.02341242227703333,0.19728175521500182
27,training,0.018102176,0.042270362609997385,0.19728175521500182
28,training,0.02570624,0.030850668437778957,0.19728175521500182
29,training,0.019709475,0.019617922604084015,0.19728175521500182
30,training,0.01271335,0.04925981163978577,0.19728175521500182
31,training,0.01083092,0.00917938444763422,0.19728175521500182
32,training,0.011686313,0.03429057728499174,0.21524247784069273
33,training,0.008653374,0.005532668903470036,0.21524247784069273
34,training,0.013746343,0.06296699494123459,0.21524247784069273
35,training,0.022765541,0.03145531984046102,0.21524247784069273
36,training,0.015579332,0.04836887726560234,0.21524247784069273
37,training,0.014434407,0.007940496085211635,0.21524247784069273
38,training,0.011454178,0.06139270961284638,0.19249755417596048
39,training,0.007683037,0.04511164873838425,0.19249755417596048
40,training,0.0205121,0.00080807879567147,0.19249755417596048
41,training,0.023543635,0.006682181730866432,0.19249755417596048
42,training,0.012377764,0.01189962774515152,0.19249755417596048
43,training,0.013541377,0.028409060556441545,0.19249755417596048
44,training,0.017905366,0.03491140902042389,0.15740972436522394
45,training,0.009094195,0.030127177014946938,0.15740972436522394
46,training,0.013642878,0.04627724923193455,0.15740972436522394
47,training,0.018637564,0.029450080357491967,0.15740972436522394
48,training,0.005621065,0.010060593020170927,0.15740972436522394
49,training,0.011907349,0.058501459658145905,0.15740972436522394
50,training,0.005557515,0.05508784018456936,0.1586623445815125
51,training,0.009136812,0.05188325373455883,0.1586623445815125
52,training,0.008018701,0.0538544375449419,0.1586623445815125
53,training,0.0094360635,0.2775211017578841,0.1586623445815125
54,training,0.005006172,0.25400063022971153,0.1586623445815125
55,training,0.015715376,0.35066957771778107,0.1586623445815125
56,training,0.009063322,0.2980630472302437,0.18393245821475138
57,training,0.013455591,0.26918474212288857,0.18393245821475138
58,training,0.009401369,0.13743618596345183,0.18393245821475138
59,training,0.0033526046,0.08214546716772021,0.18393245821475138
60,training,0.0110824,0.008943706750869751,0.18393245821475138
61,training,0.015533022,0.03989605978131294,0.18393245821475138
62,training,0.0039473847,0.05952751822769642,0.27873317406677717
63,training,0.007582594,0.03519157390110195,0.27873317406677717
64,training,0.007751157,0.00017094347276724875,0.27873317406677717
65,training,0.004248881,0.07810115069150925,0.27873317406677717
66,training,0.003526544,0.17847928404808044,0.27873317406677717
67,training,0.010385149,0.17503662407398224,0.27873317406677717
68,training,0.014062293,0.25284091383218765,0.25496508548495506
69,training,0.032793947,0.21247351169586182,0.25496508548495506
70,training,0.010489953,0.12650587409734726,0.25496508548495506
71,training,0.0057629044,0.05172792449593544,0.25496508548495506
72,training,0.004417463,0.04847946763038635,0.25496508548495506
73,training,0.022798454,0.11836572503671049,0.25496508548495506
74,training,0.016205875,0.11866818182170391,0.22293440486422544
75,training,0.010122917,0.14396579936146733,0.22293440486422544
76,training,0.003835041,0.11737372819334269,0.22293440486422544
77,training,0.0020777278,0.16181658394634724,0.22293440486422544
78,training,0.01601463,0.16504105925559998,0.22293440486422544
79,training,0.0039539402,0.2357301339507103,0.22293440486422544
80,training,0.0056848745,0.1338978372514248,0.1905159262690835
81,training,0.010193509,0.11441094614565372,0.1905159262690835
82,training,0.010513564,0.09554248768836263,0.1905159262690835
83,training,0.013862933,0.027544159442186356,0.1905159262690835
84,training,0.0016600523,0.054474104195833206,0.1905159262690835
85,training,0.006340767,0.09460310265421867,0.1905159262690835
86,training,0.009139925,0.07300428859889507,0.13103405580913766
87,training,0.022823345,0.06569796986877918,0.13103405580913766
88,training,0.00693654,0.06336506269872189,0.13103405580913766
89,training,0.0028261943,0.0945313535630703,0.13103405580913766
90,training,0.0064684553,0.08108396083116531,0.13103405580913766
91,training,0.011819209,0.10760932043194771,0.13103405580913766
92,training,0.014201845,0.10500139743089676,0.06600312116828598
93,training,0.005559432,0.09557332284748554,0.06600312116828598
94,training,0.004187053,0.10378008149564266,0.06600312116828598
95,training,0.003742094,0.13422549702227116,0.06600312116828598
96,training,0.00995739,0.14516045339405537,0.06600312116828598
97,training,0.004894131,0.09980862773954868,0.03821598905996106
98,training,0.0035926085,0.07952702976763248,0.03821598905996106
99,training,0.0034260468,0.09343971125781536,0.03821598905996106
100,training,0.0024130999,0.08150256425142288,0.03821598905996106
101,training,0.016756756,0.06086062081158162,0.03821598905996106
102,training,0.012248543,0.0785595215857029,0.03821598905996106
103,training,0.0056631085,0.11230423301458357,0.015261697678902222
104,training,0.0050441385,0.11004296690225601,0.015261697678902222
105,training,0.0049044657,0.12047685310244559,0.015261697678902222
106,training,0.0027095813,0.1362343565560877,0.015261697678902222
107,training,0.0033088096,0.1090868450701237,0.015261697678902222
108,training,0.00803299,0.12171424366533756,0.015261697678902222
109,training,0.011259225,0.12182297557592392,0.013364147702101445
110,training,0.0033667695,0.12345500849187374,0.013364147702101445
111,training,0.0045237355,0.12709089927375317,0.013364147702101445
112,training,0.005144817,0.10908617451786995,0.013364147702101445
113,training,0.00662648,0.12242097966372967,0.013364147702101445
114,training,0.00224991,0.0993274599313736,0.013364147702101445
115,training,0.004819023,0.11010140180587769,0.02550630922895787
116,training,0.006486785,0.11455033347010612,0.02550630922895787
117,training,0.008832545,0.10588691383600235,0.02550630922895787
118,training,0.0045416383,0.09775792062282562,0.02550630922895787
119,training,0.0047389725,0.07114816084504126,0.02550630922895787
120,training,0.0049798456,0.024649113416671767,0.02550630922895787
121,training,0.00071161665,0.017103448510169997,0.05784617974717146
122,training,0.008723391,0.008985124528408064,0.05784617974717146
123,training,0.0063220845,0.005139984190464034,0.05784617974717146
124,training,0.0020998544,0.0628051608800888,0.05784617974717146
125,training,0.0018487481,0.04992110654711725,0.05784617974717146
126,training,0.0014841952,0.07308345381170511,0.06660149254124717
127,training,0.0044000917,0.07769593689590693,0.06660149254124717
128,training,0.0050245295,0.026197388768196106,0.06660149254124717
129,training,0.0012300158,0.09196792356669903,0.06660149254124717
130,training,0.0013724527,0.06371741555631161,0.06660149254124717
131,training,0.000535758,0.052982086315751076,0.06660149254124717
132,training,0.0037717652,0.045479170978069305,0.04930225976768443
133,training,0.0015398758,0.04886125586926937,0.04930225976768443
134,training,0.0015615183,0.05290726386010647,0.04930225976768443
135,training,0.00070895103,0.03968769684433937,0.04930225976768443
136,training,0.002075551,0.08214410208165646,0.04930225976768443
137,training,0.0031269994,0.06295279413461685,0.04930225976768443
138,training,0.002803202,0.04414732940495014,0.05850417878438053
139,training,0.0030976632,0.03726359270513058,0.05850417878438053
140,training,0.008286195,0.023918945342302322,0.05850417878438053
141,training,0.0024583822,0.06037133932113648,0.05850417878438053
142,training,0.002593264,0.020271265879273418,0.05850417878438053
143,training,0.0020762922,0.08174472022801638,0.05850417878438053
144,training,0.0033487396,0.13638032972812653,0.0643787002621881
145,training,0.0026232167,0.058348776772618294,0.0643787002621881
146,training,0.0047167223,0.07434381544589996,0.0643787002621881
147,training,0.009452826,0.17109164968132973,0.0643787002621881
148,training,0.0040013497,0.09135240688920022,0.0643787002621881
149,training,0.002899007,0.11267862655222416,0.0643787002621881
150,training,0.0052872705,0.208842471241951,0.029804179793597795
151,training,0.0007435456,0.17596229165792465,0.029804179793597795
152,training,0.002199492,0.1622426100075245,0.029804179793597795
153,training,0.005339793,0.15332157351076603,0.029804179793597795
154,training,0.00563614,0.2074154932051897,0.029804179793597795
155,training,0.00076291536,0.17385425046086309,0.029804179793597795
156,training,0.0052253883,0.08973411470651624,0.017512205516367552
157,training,0.004022485,0.06387404352426532,0.017512205516367552
158,training,0.0057080267,0.0811932981014252,0.017512205516367552
159,training,0.0036084247,0.08670557290315628,0.017512205516367552
160,training,0.003762937,0.10169115662574768,0.017512205516367552
161,training,0.008171906,0.14340618113055825,0.017512205516367552
162,training,0.0022627634,0.1197615768760443,0.05107321665608184
163,training,0.004585534,0.13022447563707829,0.05107321665608184
164,training,0.0057875803,0.13443506602197883,0.05107321665608184
165,training,0.0058353255,0.13459782116115093,0.05107321665608184
166,training,0.013134858,0.10621403157711032,0.05107321665608184
167,training,0.0024613691,0.11413892731070518,0.05107321665608184
168,training,0.008885782,0.10392479225993154,0.08807407864675078
169,training,0.0067630527,0.12187417596578598,0.08807407864675078
170,training,0.0042890967,0.13682143948972222,0.08807407864675078
171,training,0.00078885973,0.1576338624581695,0.08807407864675078
172,training,0.0032590008,0.13096492737531662,0.08807407864675078
173,training,0.0037770236,0.12289301306009293,0.08807407864675078
174,training,0.0014416229,0.09879499673843384,0.10498878601211055
175,training,0.0103486385,0.019447490572929382,0.10498878601211055
176,training,0.004616937,0.044686220586299896,0.10498878601211055
177,training,0.004781487,0.009303733706474304,0.10498878601211055
178,training,0.0066995877,0.014140035957098007,0.10498878601211055
179,training,0.008222768,0.014581233263015733,0.10498878601211055
180,training,0.0051111784,0.011031791567802443,0.11040166939192284
181,training,0.004609996,0.012970931828021996,0.11040166939192284
182,training,0.002050188,0.022188261151313782,0.11040166939192284
183,training,0.001959302,0.02225496619939804,0.11040166939192284
184,training,0.0016586602,0.037399498745799065,0.11040166939192284
185,training,0.00783392,0.07842338923364878,0.11040166939192284
186,training,0.0058783293,0.030910569243133068,0.0931154524939038
187,training,0.0026446108,0.036977484822273254,0.0931154524939038
188,training,0.0026530228,0.09972749277949333,0.0931154524939038
189,training,0.0026825198,0.12589284032583237,0.0931154524939038
190,training,0.003481221,0.1050707045942545,0.0931154524939038
191,training,0.0037798823,0.09904229082167149,0.0931154524939038
192,training,0.004490161,0.1245757695287466,0.07346269678844307
193,training,0.0028270893,0.12962806411087513,0.07346269678844307
194,training,0.007998512,0.14191113598644733,0.07346269678844307
195,training,0.0061166743,0.14082288555800915,0.07346269678844307
196,training,0.003625845,0.10684100724756718,0.07346269678844307
197,training,0.0049486407,0.07633371092379093,0.07346269678844307
198,training,0.0023873337,0.0737543124705553,0.051924701859741094
199,training,0.0033861436,0.07759531401097775,0.051924701859741094
200,training,0.005411158,0.031930947676301,0.051924701859741094
201,training,0.005585954,0.052640410140156746,0.051924701859741094
202,training,0.0042304574,0.10664223320782185,0.051924701859741094
203,training,0.0028266015,0.07497297460213304,0.04159006023573729
204,training,0.005493671,0.011753175407648087,0.04159006023573729
205,training,0.0028654283,0.013993039727210999,0.04159006023573729
206,training,0.005497307,0.04409297928214073,0.04159006023573729
207,training,0.0027890345,0.10732400044798851,0.04159006023573729
208,training,0.0032027469,0.07161903008818626,0.04159006023573729
209,training,0.0030321765,0.04521907866001128,0.042346642260501735
210,training,0.0054698335,0.09245960414409639,0.042346642260501735
211,training,0.001818211,0.10984919406473635,0.042346642260501735
212,training,0.003019353,0.0769020076841116,0.042346642260501735
213,training,0.0016683708,0.049037631601095186,0.042346642260501735
214,training,0.006111663,0.08997796289622785,0.042346642260501735
215,training,0.0014582883,0.10814925841987133,0.027167936421603492
216,training,0.0063481587,0.09699783474206924,0.027167936421603492
217,training,0.003920703,0.04413854703307152,0.027167936421603492
218,training,0.00693822,0.05927612632513045,0.027167936421603492
219,training,0.0017271623,0.11550549045205118,0.027167936421603492
220,training,0.0066851107,0.15258817747235298,0.027167936421603492
221,training,0.0061253435,0.1644719811156392,0.009014637668394306
222,training,0.0033765088,0.147856842726469,0.009014637668394306
223,training,0.0029581522,0.12005908787250519,0.009014637668394306
224,training,0.00060408196,0.09731449931859973,0.009014637668394306
225,training,0.0041713617,0.09426159411668777,0.009014637668394306
226,training,0.006442168,0.07606425881385803,0.009014637668394306
227,training,0.005643658,0.11988966912031174,0.020850335959267326
228,training,0.009287126,0.15121752582490447,0.020850335959267326
229,training,0.0031194312,0.16555660404264927,0.020850335959267326
230,training,0.0024792613,0.19507377222180367,0.020850335959267326
231,training,0.0025573072,0.2146161794662476,0.020850335959267326
232,training,0.009153448,0.23663479834794998,0.04124568680531211
233,training,0.0036558902,0.20487375743687153,0.04124568680531211
234,training,0.003697609,0.15516272187232974,0.04124568680531211
235,training,0.0063397936,0.18939312547445297,0.04124568680531211
236,training,0.006508259,0.18937144801020625,0.04124568680531211
237,training,0.004498304,0.18483880907297137,0.04124568680531211
238,training,0.002898538,0.2007873095571995,0.0646600792691693
239,training,0.0050110663,0.23642123118042946,0.0646600792691693
240,training,0.0035821006,0.27068666834384203,0.0646600792691693
241,training,0.002866883,0.3006376400589943,0.0646600792691693
242,training,0.009507399,0.333152549341321,0.0646600792691693
243,training,0.006600792,0.3226754739880561,0.0646600792691693
244,training,0.0041534794,0.32975688204169273,0.07477402595337072
245,training,0.014180219,0.13245759159326553,0.07477402595337072
246,training,0.014613961,0.08766503073275089,0.07477402595337072
247,training,0.0023796547,0.09713568910956383,0.07477402595337072
248,training,0.0023256617,0.11355799809098241,0.07477402595337072
249,training,0.012844942,0.08500808849930762,0.07477402595337072
250,training,0.015164364,0.08872164040803909,0.04391031681208191
251,training,0.002274783,0.05944364890456198,0.04391031681208191
252,training,0.00391558,0.03315372206270695,0.04391031681208191
253,training,0.002411358,0.06604592502117157,0.04391031681208191
254,training,0.0020371135,0.04904855042695999,0.04391031681208191
255,training,0.0026045928,0.05783149600028992,0.04267052795666489
256,training,0.008545024,0.019558817148208604,0.04267052795666489
257,training,0.011720751,0.05454891733825207,0.04267052795666489
258,training,0.0066300994,0.06319335475564003,0.04267052795666489
259,training,0.006497002,0.04080328531563282,0.04267052795666489
260,training,0.0049900915,0.02746741473674775,0.044231265636336496
261,training,0.0022031215,0.006622735410928719,0.044231265636336496
262,training,0.0028676826,0.056969013065099716,0.044231265636336496
263,training,0.0014242633,0.02815141994506121,0.044231265636336496
264,training,0.0039867293,0.0005941353738307953,0.044231265636336496
265,training,0.009942392,0.008229602128267288,0.044231265636336496
266,training,0.0015690502,0.09520686604082584,0.045207917908640545
267,training,0.002738214,0.08991985209286213,0.045207917908640545
268,training,0.002752758,0.009433599188923836,0.045207917908640545
269,training,0.0014758162,0.002161361277103424,0.045207917908640545
270,training,0.005089809,0.03741116635501385,0.045207917908640545
271,training,0.0011759695,0.06249345559626818,0.045207917908640545
272,training,0.0058862125,0.05186530575156212,0.038562069357486226
273,training,0.0051185396,0.0004702731966972351,0.038562069357486226
274,training,0.0042739194,0.030021814629435546,0.038562069357486226
275,training,0.001420501,0.02851168997585773,0.038562069357486226
276,training,0.0025859585,0.043543200939893716,0.038562069357486226
277,training,0.0014013125,0.02853020187467337,0.038562069357486226
278,training,0.0033960491,0.00833364948630333,0.02581370211580129
279,training,0.004607927,0.002278230153024195,0.02581370211580129
280,training,0.0014520407,0.06988556496798992,0.02581370211580129
281,training,0.002850368,0.06746924296021461,0.02581370211580129
282,training,0.0016802881,0.03182034008204937,0.02581370211580129
283,training,0.0030805694,0.014926203526556495,0.02581370211580129
284,training,0.0028639946,0.04896503686904907,0.01334523857882843
285,training,0.0030042226,0.1150985062122345,0.01334523857882843
286,training,0.0067223767,0.06074604392051697,0.01334523857882843
287,training,0.016021525,0.08105011284351349,0.01334523857882843
288,training,0.0033775559,0.07046455889940262,0.01334523857882843
289,training,0.0011751351,0.06430133990943432,0.0061068780017246
290,training,0.0056280526,0.021560838911682367,0.0061068780017246
291,training,0.00627775,0.05993388965725899,0.0061068780017246
292,training,0.0006649769,0.028548456728458405,0.0061068780017246
293,training,0.0044469144,0.0364152193069458,0.0061068780017246
294,training,0.005389812,0.024408362805843353,0.009398321297560987
295,training,0.0009721747,0.04037360101938248,0.009398321297560987
296,training,0.0018132278,0.029009705991484225,0.009398321297560987
297,training,0.0010758883,0.010540266055613756,0.009398321297560987
298,training,0.0060929013,0.03342909086495638,0.009398321297560987
299,training,0.004521013,0.021817006170749664,0.009398321297560987
300,training,0.0016019511,0.004596223123371601,0.028030133831945917
301,training,0.0018200016,0.08275567786768079,0.028030133831945917
302,training,0.0023941107,0.042029375210404396,0.028030133831945917
303,training,0.004132551,0.039312154054641724,0.028030133831945917
304,training,0.0037951046,0.04267306067049503,0.028030133831945917
305,training,0.0014271822,0.09263981506228447,0.028030133831945917
306,training,0.0015376881,0.1538317482918501,0.03927822918436431
307,training,0.0032955224,0.09663313627243042,0.03927822918436431
308,training,0.0020116267,0.035363404080271735,0.03927822918436431
309,training,0.0018035407,0.06058971583843231,0.03927822918436431
310,training,0.001656122,0.10695716738700867,0.03927822918436431
311,training,0.0024393091,0.1087786965072155,0.03927822918436431
312,training,0.0011294936,0.08215366490185261,0.04893581286766136
313,training,0.0033411877,0.12536879256367683,0.04893581286766136
314,training,0.0026410916,0.10968731669709086,0.04893581286766136
315,training,0.0017934336,0.12720335042104125,0.04893581286766136
316,training,0.0038957493,0.05679062008857727,0.04893581286766136
317,training,0.0015254847,0.11070095002651213,0.04893581286766136
318,training,0.0004459316,0.03116841614246367,0.06490610999982746
319,training,0.001023753,0.10276069492101667,0.06490610999982746
320,training,0.0033050587,0.03727532923221588,0.06490610999982746
321,training,0.0026694413,0.011196255683898926,0.06490610999982746
322,training,0.0071862163,0.04546653479337692,0.06490610999982746
323,training,0.0015916028,0.0543389767408371,0.06490610999982746
324,training,0.0067351316,0.01735658943653108,0.06672506363982403
325,training,0.0015953288,0.030445381999015794,0.06672506363982403
326,training,0.003183425,0.0020906105637550215,0.06672506363982403
327,training,0.0034074031,0.12444822862744331,0.06672506363982403
328,training,0.00087053864,0.0481490409001708,0.06672506363982403
329,training,0.0028428298,0.02200482040643692,0.06672506363982403
330,training,0.0031101753,0.02225610613822937,0.06626318659347077
331,training,0.0016433579,0.030392879620194435,0.06626318659347077
332,training,0.004849413,0.0342062320560217,0.06626318659347077
333,training,0.00228947,0.03334836941212416,0.06626318659347077
334,training,0.0008517639,0.01529604196548462,0.06626318659347077
335,training,0.004843868,0.06989165768027306,0.06626318659347077
