step,mode,loss,angle_error(rad),distance(m)
1,training,0.0016672728,0.027447864413261414,0.0
2,training,0.019848706,0.03851225972175598,0.0
3,training,0.020670451,0.055031146854162216,0.0
4,training,0.019708186,0.02673630043864251,0.0
5,training,0.017137915,0.017610101029276848,0.0
6,training,0.014577097,0.017680414021015167,0.0
7,training,0.011912956,0.02576419524848461,0.0
8,training,0.011052091,0.04023721069097519,0.0
9,training,0.008463112,0.03779418347403407,0.015247469317601963
10,training,0.011035844,0.04408773593604565,0.015247469317601963
11,training,0.0064453892,0.02193694887682796,0.015247469317601963
12,training,0.005918211,0.01625870354473591,0.015247469317601963
13,training,0.0022965502,0.05028375517576933,0.015247469317601963
14,training,0.0012193635,0.07594529539346695,0.015247469317601963
15,training,0.004866196,0.11532009392976761,0.08287871746421159
16,training,0.0033271455,0.06899083405733109,0.08287871746421159
17,training,0.0021520138,0.05620682239532471,0.08287871746421159
18,training,0.0049664075,0.029219336807727814,0.08287871746421159
19,training,0.0054586222,0.09656218439340591,0.08287871746421159
20,training,0.003978789,0.10325333103537557,0.08287871746421159
21,training,0.0074622305,0.2274311706423759,0.1820855345291654
22,training,0.0072506717,0.22860481217503548,0.1820855345291654
23,training,0.0013418598,0.16899367701262236,0.1820855345291654
24,training,0.0012299538,0.26511586969718337,0.1820855345291654
25,training,0.0007580731,0.2704084664583206,0.1820855345291654
26,training,0.011425712,0.2681033266708254,0.1820855345291654
27,training,0.004037102,0.25615322217345243,0.27925719569419116
28,training,0.010965171,0.38488681428134436,0.27925719569419116
29,training,0.011739749,0.29504039441235363,0.27925719569419116
30,training,0.010176477,0.24041456356644633,0.27925719569419116
31,training,0.016905596,0.16062048077583313,0.27925719569419116
32,training,0.011951894,0.2194500118494034,0.3347797727781077
33,training,0.021711096,0.16651697643101215,0.3347797727781077
34,training,0.011708306,0.11774274334311487,0.3347797727781077
35,training,0.017870246,0.19321134313941002,0.3347797727781077
36,training,0.013370635,0.15567543730139732,0.3347797727781077
37,training,0.0137058245,0.03947051800787449,0.3347797727781077
38,training,0.0115305865,0.0415010005235672,0.34467614195287893
39,training,0.031803194,0.0061280410736799275,0.34467614195287893
40,training,0.0075566783,0.03546903841197491,0.34467614195287893
41,training,0.010282319,0.11572398990392685,0.34467614195287893
42,training,0.016743083,0.014908735640347004,0.34467614195287893
43,training,0.008422416,0.04012893140316011,0.2856736130289929
44,training,0.008694803,0.033861596137285226,0.2856736130289929
45,training,0.017285451,0.020961023867130276,0.2856736130289929
46,training,0.013538853,0.09195476397871971,0.2856736130289929
47,training,0.0092070745,0.010619910899549723,0.2856736130289929
48,training,0.01798274,0.061060912907123566,0.2856736130289929
49,training,0.011902342,0.058232623152434826,0.23010297789963824
50,training,0.008611115,0.16978636942803862,0.23010297789963824
51,training,0.005534025,0.19255007058382034,0.23010297789963824
52,training,0.009780494,0.1373877041041851,0.23010297789963824
53,training,0.021797925,0.09608643874526024,0.23010297789963824
54,training,0.005744193,0.09903565980494024,0.23010297789963824
55,training,0.0076613603,0.042514232918620116,0.16909906026476357
56,training,0.008288975,0.06070975959300996,0.16909906026476357
57,training,0.0073751397,0.06641887128353119,0.16909906026476357
58,training,0.007329455,0.013607501983642578,0.16909906026476357
59,training,0.0074913413,0.03987100534141064,0.16909906026476357
60,training,0.007882702,0.03124614618718624,0.16909906026476357
61,training,0.001887187,0.03477643709629774,0.16909906026476357
62,training,0.0034943242,0.07062423974275589,0.20250579145446315
63,training,0.009411436,0.1867085099220276,0.20250579145446315
64,training,0.0034645267,0.23962217569351194,0.20250579145446315
65,training,0.0058103837,0.1891586259007454,0.20250579145446315
66,training,0.009833145,0.32970647513866425,0.20250579145446315
67,training,0.008110948,0.2542068213224411,0.20250579145446315
68,training,0.0021614807,0.31041640043258667,0.17180338873436052
69,training,0.0044747344,0.3185381144285202,0.17180338873436052
70,training,0.0029764792,0.319315105676651,0.17180338873436052
71,training,0.011889304,0.356826052069664,0.17180338873436052
72,training,0.012362075,0.3348020911216736,0.17180338873436052
73,training,0.022640962,0.3494552671909332,0.17180338873436052
74,training,0.0027704695,0.3448820114135742,0.15580767395332598
75,training,0.0039845966,0.3933250308036804,0.15580767395332598
76,training,0.004325493,0.3937680572271347,0.15580767395332598
77,training,0.0018993547,0.3712605684995651,0.15580767395332598
78,training,0.014794372,0.3497399091720581,0.15580767395332598
79,training,0.015829854,0.3084711506962776,0.15580767395332598
80,training,0.030305024,0.3201828747987747,0.15942344553740675
81,training,0.0073673422,0.2736325263977051,0.15942344553740675
82,training,0.031019153,0.24495714157819748,0.15942344553740675
83,training,0.0258601,0.18166965246200562,0.15942344553740675
84,training,0.02085784,0.1364680752158165,0.15942344553740675
85,training,0.0017514768,0.22717111930251122,0.14481104829065197
86,training,0.017307347,0.27078958973288536,0.14481104829065197
87,training,0.033080656,0.2089960016310215,0.14481104829065197
88,training,0.025554918,0.11357251927256584,0.14481104829065197
89,training,0.04179957,0.07132007367908955,0.14481104829065197
90,training,0.027198583,0.09952350705862045,0.09464299683180181
91,training,0.019760175,0.16706985980272293,0.09464299683180181
92,training,0.04693869,0.12019790895283222,0.09464299683180181
93,training,0.011148071,0.043678096029907465,0.09464299683180181
94,training,0.012607903,0.005782391410320997,0.09464299683180181
95,training,0.0121524865,0.016603762283921242,0.09464299683180181
96,training,0.015141906,0.008793662302196026,0.03478351491642912
97,training,0.018358799,0.033145658671855927,0.03478351491642912
98,training,0.0055618132,0.022924091666936874,0.03478351491642912
99,training,0.010020543,0.01047474704682827,0.03478351491642912
100,training,0.017328456,0.02574775984066946,0.03478351491642912
101,training,0.020212485,0.05608639263664372,0.03478351491642912
102,training,0.017440852,0.054830971523188055,0.012173361657475897
103,training,0.009935102,0.04881522711366415,0.012173361657475897
104,training,0.015137193,0.029802843928337097,0.012173361657475897
105,training,0.0060728844,0.003286724910140036,0.012173361657475897
106,training,0.013992439,0.016142020002007484,0.012173361657475897
107,training,0.012497265,0.014417348429560658,0.012173361657475897
108,training,0.012445677,0.02179576549679041,0.021076332681761917
109,training,0.008671115,0.021686268039047718,0.021076332681761917
110,training,0.007668006,0.019880556035786867,0.021076332681761917
111,training,0.007041807,0.031534209847450256,0.021076332681761917
112,training,0.012647693,0.04967198893427849,0.021076332681761917
113,training,0.007901257,0.009872270748019218,0.021076332681761917
114,training,0.005907384,0.036979908123612404,0.02296951859033442
115,training,0.0034872745,0.02584337629377842,0.02296951859033442
116,training,0.004747966,0.012275531888008118,0.02296951859033442
117,training,0.011783359,0.02691606804728508,0.02296951859033442
118,training,0.0021917387,0.015671324566937983,0.02296951859033442
119,training,0.0029049828,0.014782936312258244,0.02296951859033442
120,training,0.0049552443,0.018639640882611275,0.01317861658689791
121,training,0.0018186437,0.02572779171168804,0.01317861658689791
122,training,0.0038240026,0.031101588159799576,0.01317861658689791
123,training,0.0034877658,0.011850770562887192,0.01317861658689791
124,training,0.0023216398,0.019534342922270298,0.01317861658689791
125,training,0.0034942233,0.0037654927000403387,0.01317861658689791
126,training,0.007802604,0.00013449415564537048,0.009769263033094491
127,training,0.003600723,0.0008289816323667769,0.009769263033094491
128,training,0.0028900634,0.017447316087782383,0.009769263033094491
129,training,0.0067550726,0.019889116287231445,0.009769263033094491
130,training,0.004908171,0.030750349164009094,0.009769263033094491
131,training,0.005829076,0.06158616580069065,0.010723852303425097
132,training,0.0066743,0.010420517064630985,0.010723852303425097
133,training,0.005308762,0.013058105483651161,0.010723852303425097
134,training,0.0023891416,0.09279666095972061,0.010723852303425097
135,training,0.002885886,0.07924499362707138,0.010723852303425097
136,training,0.004613511,0.09831822291016579,0.010723852303425097
137,training,0.0036234206,0.10546636581420898,0.005910346600474074
138,training,0.0024845945,0.05540657788515091,0.005910346600474074
139,training,0.0015258659,0.17860592901706696,0.005910346600474074
140,training,0.0008512997,0.17174819111824036,0.005910346600474074
141,training,0.0029606428,0.1510171815752983,0.005910346600474074
142,training,0.00084617746,0.17370062321424484,0.005910346600474074
143,training,0.0023469124,0.17842917330563066,0.011110736190937557
144,training,0.0029288952,0.16620004363358024,0.011110736190937557
145,training,0.003889168,0.20592226460576057,0.011110736190937557
146,training,0.0032310267,0.22532807290554047,0.011110736190937557
147,training,0.0055075716,0.22546296380460265,0.011110736190937557
148,training,0.0070727463,0.24393334239721298,0.011110736190937557
149,training,0.0033694338,0.22569918259978294,0.04460581383768751
150,training,0.0030066627,0.1402054335922003,0.04460581383768751
151,training,0.0012662068,0.15447062253952024,0.04460581383768751
152,training,0.005361927,0.17776421830058098,0.04460581383768751
153,training,0.009609266,0.22657239437103271,0.04460581383768751
154,training,0.0032379234,0.2275396678596735,0.04460581383768751
155,training,0.003479396,0.26445701718330383,0.09060096585465457
156,training,0.0076609063,0.30237117409706116,0.09060096585465457
157,training,0.0024277724,0.262629933655262,0.09060096585465457
158,training,0.0016737694,0.289513785392046,0.09060096585465457
159,training,0.0018730317,0.2737582940608263,0.09060096585465457
160,training,0.012419426,0.2219587340950966,0.09060096585465457
161,training,0.0008987647,0.19256196916103363,0.14077021386910651
162,training,0.0055577606,0.17879480123519892,0.14077021386910651
163,training,0.007109261,0.15719489008188253,0.14077021386910651
164,training,0.0056312443,0.16939494013786316,0.14077021386910651
165,training,0.00418251,0.15557974576950076,0.14077021386910651
166,training,0.0061035533,0.13747659325599668,0.14077021386910651
167,training,0.004739404,0.1688094288110733,0.17891253183239822
168,training,0.00867522,0.17665631324052813,0.17891253183239822
169,training,0.003289235,0.15846569836139682,0.17891253183239822
170,training,0.008907648,0.19520433619618419,0.17891253183239822
171,training,0.004358926,0.16987120360136035,0.17891253183239822
172,training,0.002163619,0.1737632416188717,0.17891253183239822
173,training,0.005332093,0.17923114448785782,0.20106146531787078
174,training,0.0019080552,0.11476109176874161,0.20106146531787078
175,training,0.010009845,0.095868781208992,0.20106146531787078
176,training,0.0016088547,0.11265639401972294,0.20106146531787078
177,training,0.0031443792,0.09539611637592316,0.20106146531787078
178,training,0.006179533,0.06884162500500679,0.20106146531787078
179,training,0.00012469146,0.014776557683944702,0.1956504750067417
180,training,0.010014845,0.05331024155020713,0.1956504750067417
181,training,0.0030950804,0.030257258564233787,0.1956504750067417
182,training,0.0099221645,0.05849466286599637,0.1956504750067417
183,training,0.008299489,0.011620376259088516,0.1956504750067417
184,training,0.0012628256,0.017825609305873513,0.1956504750067417
185,training,0.0011201629,0.01691967248916626,0.16395298397446612
186,training,0.0012747791,0.03396903118118644,0.16395298397446612
187,training,0.0031644169,0.014955234248191118,0.16395298397446612
188,training,0.004568073,0.06134849041700363,0.16395298397446612
189,training,0.002203846,0.017125784419476986,0.16395298397446612
190,training,0.0047422913,0.022540867328643795,0.16395298397446612
191,training,0.00090678525,0.026506096124649044,0.11783933718802256
192,training,0.0008333016,0.020956628024578094,0.11783933718802256
193,training,0.0028406607,0.053149113431572914,0.11783933718802256
